Date,Close,Index,Month,Returns (%)
1999-03-01,1286.3699951171875,S&P 500,March,3.87942154089167
1999-04-01,1335.1800537109375,S&P 500,April,3.7944027596277463
1999-05-01,1301.8399658203125,S&P 500,May,-2.4970480796175143
1999-06-01,1372.7099609375,S&P 500,June,5.443833111432483
1999-07-01,1328.719970703125,S&P 500,July,-3.2046092391091685
1999-08-01,1320.4100341796875,S&P 500,August,-0.6254091687235008
1999-09-01,1282.7099609375,S&P 500,September,-2.8551792448024638
1999-10-01,1362.9300537109375,S&P 500,October,6.253954145238461
1999-11-01,1388.9100341796875,S&P 500,November,1.9061858969220413
1999-12-01,1469.25,S&P 500,December,5.784389473992291
2000-01-01,1394.4599609375,S&P 500,January,-5.090354879190063
2000-02-01,1366.4200439453125,S&P 500,February,-2.0108083256356934
2000-03-01,1498.5799560546875,S&P 500,March,9.671982835364812
2000-04-01,1452.4300537109375,S&P 500,April,-3.0795755780191336
2000-05-01,1420.5999755859375,S&P 500,May,-2.1915050603417807
2000-06-01,1454.5999755859375,S&P 500,June,2.3933549615877237
2000-07-01,1430.8299560546875,S&P 500,July,-1.6341275904170893
2000-08-01,1517.6800537109375,S&P 500,August,6.069910494167097
2000-09-01,1436.510009765625,S&P 500,September,-5.3482974719764265
2000-10-01,1429.4000244140625,S&P 500,October,-0.49494854217706497
2000-11-01,1314.949951171875,S&P 500,November,-8.006861010730892
2000-12-01,1320.280029296875,S&P 500,December,0.40534456237286687
2001-01-01,1366.010009765625,S&P 500,January,3.4636576676164488
2001-02-01,1239.93994140625,S&P 500,February,-9.229073539585963
2001-03-01,1160.3299560546875,S&P 500,March,-6.420471080339151
2001-04-01,1249.4599609375,S&P 500,April,7.681436165439459
2001-05-01,1255.8199462890625,S&P 500,May,0.5090187401275648
2001-06-01,1224.3800048828125,S&P 500,June,-2.503538942756467
2001-07-01,1211.22998046875,S&P 500,July,-1.0740149595403703
2001-08-01,1133.5799560546875,S&P 500,August,-6.410840688075748
2001-09-01,1040.93994140625,S&P 500,September,-8.172340570563886
2001-10-01,1059.780029296875,S&P 500,October,1.8099111333141016
2001-11-01,1139.449951171875,S&P 500,November,7.51759041240454
2001-12-01,1148.0799560546875,S&P 500,December,0.7573834088927756
2002-01-01,1130.199951171875,S&P 500,January,-1.5573832456979853
2002-02-01,1106.72998046875,S&P 500,February,-2.0766211039727644
2002-03-01,1147.3900146484375,S&P 500,March,3.6738892862074657
2002-04-01,1076.9200439453125,S&P 500,April,-6.141762591921907
2002-05-01,1067.1400146484375,S&P 500,May,-0.9081481352177012
2002-06-01,989.8200073242188,S&P 500,June,-7.24553538081798
2002-07-01,911.6199951171875,S&P 500,July,-7.900427514940766
2002-08-01,916.0700073242188,S&P 500,August,0.4881433306494376
2002-09-01,815.280029296875,S&P 500,September,-11.002431825242788
2002-10-01,885.760009765625,S&P 500,October,8.644880033371404
2002-11-01,936.3099975585938,S&P 500,November,5.706962070498589
2002-12-01,879.8200073242188,S&P 500,December,-6.033257188502883
2003-01-01,855.7000122070312,S&P 500,January,-2.741469268304464
2003-02-01,841.1500244140625,S&P 500,February,-1.700360825687175
2003-03-01,848.1799926757812,S&P 500,March,0.8357567684332823
2003-04-01,916.9199829101562,S&P 500,April,8.10441071800323
2003-05-01,963.5900268554688,S&P 500,May,5.0898709609522585
2003-06-01,974.5,S&P 500,June,1.1322214676852127
2003-07-01,990.3099975585938,S&P 500,July,1.6223701958536507
2003-08-01,1008.010009765625,S&P 500,August,1.7873203593487874
2003-09-01,995.969970703125,S&P 500,September,-1.1944364585525724
